(0.04535,-1.065708), (-0.09069933,-1.065708), (0.7709371,2.358161), (0.3854692,-0.7709374), (-0.8389604,-0.4988415), (0.1133726,0), (0.997683,-0.1813971), (-0.4308179,-0.7255882), (-0.9976837,-0.06802424)
(-0.04109281,-1.013604), (-0.08218335,-1.013604), (0.3150387,1.876536), (0.9040243,-0.1095783), (0.1643688,-0.7396569), (-0.9314196,-0.3150391), (0.6574728,-0.1780655), (0.1643679,-0.7944459), (-0.9725115,-0.232855)
(0.1573835,-1.191614), (-0.1573835,1.225339), (1.191614,-0.08993322), (0.1798657,-0.6969816), (-0.9667807,-0.2922826), (0.7981566,0.03372512), (1.079197,-0.2585579), (-0.6744984,-0.6857398), (-0.9892637,-0.1461414)
(0.7544792,-1.379618), (0.9700431,-1.573627), (-1.638295,3.10414), (1.940088,0.06466935), (1.271834,-0.8838172), (-1.401174,-0.8407047), (0.02155591,-0.2155657), (1.918532,-0.194009), (-0.12934,-0.9916003)
(-0.8328713,-0.8439757), (-0.8550802,-0.8550804), (2.309828,1.576902), (0.1554697,-0.6218765), (-0.98834,-0.4553027), (-0.7662413,0.03331499), (0.9550248,-0.2109939), (-0.2109931,-0.7218212), (-0.999445,-0.03331487)
(0.1518469,-0.9566346), (0.04555362,-1.199589), (-0.06073831,-0.7744182), (0.6833102,2.976196), (0.5922021,-0.516279), (-0.5770165,-0.6377559), (-0.5922025,-0.5314636), (0.5010939,-0.6984949), (0.6681251,-0.744049)
(0.01714989,-0.9946926), (-0.1028983,-1.080442), (-0.08574998,-1.046142), (0.4115964,3.155576), (0.1886499,-0.806044), (-0.2915482,-0.7031448), (-0.1886488,-0.6859949), (0.480197,-0.806044), (0.5144947,-0.8574935)
(0.05197147,-0.9614804), (0.1126065,0.9354947), (0.8921845,0.08661972), (0.7622545,-0.2425354), (-0.1299295,-0.5803532), (-0.8228888,-0.2945076), (-0.762255,0.008662064), (0.6756353,-0.3291555), (0.9701425,-0.2425357)
(0.08410179,-0.9839925), (0.3279972,1.160607), (1.051275,0.08410179), (0.7989681,-0.1850241), (-0.3279977,-0.6055341), (-0.8241992,-0.1597936), (-0.8326086,-0.01682022), (0.5214319,-0.2438957), (0.950352,-0.311177)
(-0.6565247,-0.7822415), (-0.8520845,-0.7962105), (1.39686,1.522578), (0.7682728,-0.4889012), (0.4469954,-0.838116), (-0.6704924,-0.2933407), (-0.8800218,0.4330269), (-0.1955611,-0.2654034), (0.2095297,-0.9778024)
(-0.5560001,-0.8224182), (-0.9035017,0.2780007), (0.4401675,1.007751), (1.088835,-0.4749174), (0.776084,-0.7297512), (1.204669,0.08108338), (0.01158301,1.030918), (-0.9498345,0.3822507), (-0.9035017,-0.4285843)
(-0.8441899,-0.4052115), (-0.9623772,0.2026056), (0.1519544,0.4052114), (1.063679,-0.1857221), (0.9117247,-0.320792), (1.013028,-0.08441884), (0.8610738,0.4558626), (-0.6246998,0.5065136), (-0.9792605,-0.2026053)
(-0.3224855,-1.120214), (-0.5601074,-0.04243227), (0.118811,1.255998), (0.6958905,-0.2970263), (0.4837284,-1.077782), (0.9250256,-0.3564318), (0.5091884,1.162647), (-0.5431345,0.8825929), (-0.992917,-0.1188106)
(-0.7264898,0.6930884), (-0.5594811,-0.9269015), (0.6763874,-0.5678312), (0.617934,0.8099946), (0.4091726,0.9686534), (0.9352518,-0.3340181), (0.3674203,-1.177415), (-0.434224,-0.8934994), (-0.7515409,0.6596865)
(-0.5259548,-0.9042727), (0.4705909,-1.107273), (0.9319544,0.5074999), (0.4705909,1.051909), (0.6828182,0.6274543), (0.7935459,-0.8581361), (-0.1937727,-0.9411819), (-0.8765906,0.6828182), (-0.7474095,0.6643636)
